student_id,attendance_rate,assignment_score,quiz_score,project_score,practice_hours,ai_tool_usage_frequency,previous_it_experience,final_result,risk_level
S0044,0.848,91.2,52.2,67.5,47.6,1,0,74.3,low
S0045,0.834,63.2,87.7,50.0,39.9,2,0,65.1,medium
S0046,0.846,70.2,61.4,63.4,42.9,1,0,68.6,medium
S0047,0.925,67.0,74.7,75.5,54.2,4,0,73.5,low
S0048,0.847,69.5,68.2,70.5,19.0,1,1,70.2,medium
S0049,0.901,84.5,70.6,79.7,47.5,3,1,82.7,low
S0050,0.828,86.1,74.8,82.0,39.1,3,1,83.1,low
S0051,0.855,78.5,100.0,65.6,72.7,4,0,78.9,low
S0052,0.896,85.5,89.6,58.2,42.4,5,0,80.1,low
S0053,0.645,61.5,52.2,59.3,70.0,0,0,58.7,high
S0054,0.782,62.7,73.8,72.9,28.4,5,0,68.6,medium
S0055,0.764,91.6,54.5,79.7,53.8,0,0,75.0,low
S0056,0.743,80.0,54.7,83.1,49.8,3,1,77.0,low
S0057,0.787,56.6,76.0,50.6,32.0,2,0,62.8,medium
S0058,0.999,69.0,89.8,73.8,47.7,3,0,76.0,low
S0059,0.716,58.7,80.7,70.5,63.2,4,0,72.9,low
S0060,0.936,83.5,68.5,75.7,40.1,5,0,70.7,medium
S0061,0.618,51.3,53.0,59.8,19.6,2,0,55.0,high
S0062,0.78,69.9,77.6,60.4,44.7,5,0,67.9,medium
S0063,0.84,74.2,79.5,75.4,31.5,1,1,73.8,low
S0064,0.89,75.6,63.5,72.0,39.9,1,0,78.3,low
S0065,0.905,62.0,51.1,77.9,43.8,2,0,65.5,medium
S0066,0.915,57.1,69.2,60.6,19.4,3,0,60.3,medium
S0067,0.778,75.8,86.5,70.5,20.8,4,1,76.4,low
S0068,0.765,74.3,53.9,44.0,52.2,4,0,51.1,high
S0069,0.923,82.4,86.8,73.5,37.2,1,1,77.7,low
S0070,0.797,60.9,72.9,64.3,6.5,1,1,68.2,medium
S0071,0.667,72.9,75.1,57.0,56.8,5,0,65.2,medium
S0072,0.684,65.1,83.0,74.0,49.1,2,1,70.7,medium
S0073,0.71,54.9,51.8,59.6,34.3,1,0,59.9,high
S0074,0.88,70.0,60.0,59.1,25.2,5,1,67.1,medium
S0075,0.837,83.1,63.7,72.0,57.5,2,0,75.4,low
S0076,0.903,90.8,95.2,76.1,50.2,5,1,84.7,low
S0077,0.769,80.3,67.7,78.6,80.7,5,0,75.7,low
S0078,0.839,84.6,63.8,60.6,51.3,5,0,67.4,medium
S0079,0.895,100.0,50.4,72.5,50.8,3,0,73.6,low
S0080,0.783,60.3,98.4,74.8,42.5,4,1,72.5,low
S0081,0.875,67.2,84.4,77.3,57.3,5,0,73.7,low
S0082,0.741,58.5,73.9,65.8,54.4,1,0,62.2,medium
S0083,0.776,68.2,88.3,74.4,63.8,0,1,71.0,medium
S0084,0.774,62.4,80.1,59.3,37.2,1,1,66.3,medium
S0085,0.676,58.5,58.5,48.2,38.5,3,0,55.1,high
S0086,0.878,57.3,67.5,64.2,37.8,3,0,67.7,medium
S0087,0.764,68.4,59.9,64.9,56.9,0,0,62.9,medium
S0088,0.821,82.6,100.0,76.6,67.5,3,1,85.5,low
S0089,0.878,72.3,74.1,73.1,38.1,1,0,74.0,low
S0090,0.874,84.5,73.8,76.9,38.6,3,1,78.0,low
S0091,0.9,78.3,77.9,63.6,49.7,3,0,74.5,low
S0092,0.808,63.5,55.1,64.7,41.3,3,0,64.2,medium
S0093,0.769,88.9,85.7,69.7,59.3,2,0,81.4,low
S0094,0.81,63.6,53.4,64.2,11.2,2,0,60.5,medium
S0095,0.618,50.5,75.1,86.0,32.6,4,1,69.8,medium
S0096,0.646,50.4,73.2,54.4,33.3,4,0,53.6,high
S0097,0.661,39.7,61.8,56.5,10.2,4,0,49.5,high
S0098,0.7,70.3,71.2,73.9,30.5,2,1,70.1,medium
S0099,0.868,75.7,77.1,76.7,31.3,2,1,73.1,low
S0100,0.711,66.8,70.8,66.9,42.0,1,1,69.2,medium
S0101,0.775,89.4,62.3,55.3,61.7,3,0,72.6,low
S0102,0.976,76.4,65.5,66.3,41.3,0,0,66.9,medium
S0103,0.777,80.3,90.8,63.3,29.5,2,1,77.0,low
S0104,0.909,60.4,68.4,54.2,44.1,1,0,56.8,high
S0105,0.708,56.5,57.0,59.3,60.7,3,0,56.8,high
S0106,0.795,77.2,70.7,67.5,30.4,5,1,69.6,medium
S0107,0.706,65.2,76.7,68.7,31.3,5,0,71.3,medium
S0108,0.779,48.5,75.2,72.5,53.4,2,0,62.7,medium
S0109,0.921,77.0,85.5,70.6,41.7,0,1,79.6,low
S0110,0.613,69.8,66.5,67.3,54.7,1,1,67.2,medium
S0111,0.872,65.2,74.2,50.6,44.8,0,0,59.7,high
S0112,0.849,64.1,64.5,67.7,55.5,4,0,61.9,medium
S0113,0.749,59.5,61.7,68.5,29.5,5,0,64.4,medium
S0114,0.646,59.6,73.0,68.8,44.8,3,0,69.3,medium
S0115,0.829,77.0,86.6,69.7,41.8,1,1,77.3,low
S0116,0.756,75.8,57.9,79.2,26.8,0,1,79.4,low
S0117,0.848,78.3,57.2,53.9,21.5,5,0,67.6,medium
S0118,0.823,65.2,69.4,56.9,55.3,1,0,62.0,medium
S0119,1.0,77.1,100.0,88.0,39.7,0,1,86.2,low
S0120,0.791,67.0,39.6,77.6,29.7,1,0,65.8,medium
S0121,0.697,67.3,64.5,65.6,43.6,1,0,63.4,medium
S0122,0.842,67.6,55.5,71.6,61.9,3,0,69.7,medium
S0123,0.846,83.6,68.0,55.9,10.8,5,1,69.7,medium
S0124,0.983,78.9,64.7,50.9,22.6,1,0,64.9,medium
S0125,0.92,93.9,76.0,82.2,31.2,4,1,86.8,low
S0126,0.863,88.4,64.3,67.4,66.9,0,0,79.2,low
S0127,0.996,74.4,83.1,73.1,49.2,0,1,76.6,low
S0128,0.677,61.7,55.1,62.1,56.5,0,0,59.9,high
S0129,0.743,64.5,46.8,65.4,27.9,5,0,65.0,medium
S0130,0.709,60.1,70.4,69.6,28.2,3,0,69.4,medium
S0131,0.773,62.1,77.6,69.8,51.7,4,0,68.1,medium
S0132,0.655,44.0,69.0,69.9,45.9,0,0,60.6,medium
S0133,0.896,70.6,51.2,69.8,53.2,0,0,66.0,medium
S0134,0.793,61.1,72.4,67.7,42.2,5,0,67.6,medium
S0135,0.644,59.8,67.0,68.5,49.2,0,0,61.0,medium
S0136,0.698,62.9,58.4,62.0,47.4,0,1,56.8,high
S0137,0.858,60.8,71.9,97.1,56.7,3,0,75.4,low
S0138,0.921,86.7,82.9,87.7,57.1,3,1,83.3,low
S0139,1.0,81.0,100.0,82.9,20.7,1,1,84.6,low
S0140,1.0,74.7,92.0,73.6,11.3,2,0,80.5,low
S0141,0.87,100.0,63.8,100.0,60.0,4,1,90.4,low
S0142,0.701,78.3,100.0,82.7,62.8,2,1,86.1,low
S0143,0.564,69.4,53.5,50.1,29.7,2,1,54.0,high
S0144,0.852,51.2,73.7,74.6,17.1,0,0,64.8,medium
S0145,0.722,50.8,75.3,60.6,46.5,2,0,62.6,medium
S0146,0.77,85.5,57.7,70.6,59.0,4,0,74.4,low
S0147,0.747,60.6,75.8,58.3,72.0,3,0,61.3,medium
S0148,0.803,70.5,79.6,85.7,52.7,5,1,79.3,low
S0149,0.948,79.1,86.1,73.6,39.4,0,1,85.3,low
S0150,0.839,62.9,66.6,64.7,31.6,0,0,64.5,medium
S0151,0.801,68.5,91.9,75.0,45.2,3,1,74.9,low
S0152,0.696,57.5,61.5,77.9,40.5,1,0,66.1,medium
S0153,0.619,80.0,65.7,85.6,29.8,3,1,78.9,low
S0154,0.762,65.0,86.2,73.5,75.7,5,0,73.3,low
S0155,0.814,67.6,88.5,82.1,71.8,2,1,78.5,low
S0156,1.0,97.8,97.1,85.0,62.0,3,1,88.2,low
S0157,0.836,72.5,59.6,77.6,31.2,4,0,68.4,medium
S0158,0.938,65.9,59.6,69.2,57.8,0,0,65.2,medium
S0159,0.76,63.7,72.7,75.7,54.6,5,1,70.2,medium
S0160,0.678,54.3,54.3,70.5,51.6,1,0,59.1,high
S0161,0.704,67.2,77.2,62.9,63.7,4,0,67.5,medium
S0162,0.733,88.1,88.1,76.1,54.5,3,1,83.5,low
S0163,1.0,64.0,72.5,60.1,56.1,0,0,67.2,medium
S0164,0.721,66.1,84.1,73.3,54.6,4,0,73.2,low
S0165,0.921,77.9,87.6,88.6,50.1,1,0,85.8,low
S0166,0.712,35.7,62.4,66.0,18.2,3,0,52.9,high
S0167,0.932,95.3,75.1,98.1,46.3,5,1,93.1,low
S0168,0.866,58.9,89.7,63.1,36.7,5,0,69.4,medium
S0169,0.801,69.7,65.6,68.5,25.8,5,0,70.8,medium
S0170,0.815,73.8,72.8,62.8,70.2,2,0,71.3,medium
S0171,0.741,90.3,75.4,77.4,70.9,3,1,83.2,low
S0172,0.874,77.3,61.2,78.8,65.4,1,0,73.6,low
S0173,0.765,55.0,61.1,79.7,48.8,5,1,67.1,medium
S0174,0.673,66.9,82.4,62.1,65.3,2,1,72.1,low
S0175,0.667,74.6,63.8,61.4,45.2,4,1,64.6,medium
S0176,0.841,76.7,100.0,66.2,48.0,2,1,76.4,low
S0177,1.0,88.5,70.7,88.2,28.6,4,1,84.5,low
S0178,0.839,86.0,63.0,96.6,51.0,1,1,85.7,low
S0179,0.806,75.0,75.0,81.1,45.9,4,0,75.0,low
S0180,0.854,71.3,91.8,56.4,25.5,0,1,70.2,medium
S0181,0.977,53.0,72.2,84.2,44.2,0,0,70.0,medium
S0182,0.846,63.6,75.0,76.6,43.8,2,0,65.0,medium
S0183,0.771,84.0,57.7,65.9,72.0,2,1,69.5,medium
S0184,0.953,75.9,78.7,84.1,58.4,4,1,79.4,low
S0185,0.871,85.7,66.5,89.2,45.2,2,1,81.8,low
S0186,1.0,82.2,50.4,78.1,48.7,0,0,76.8,low
S0187,0.842,68.6,68.7,55.5,45.7,1,0,59.7,high
S0188,0.673,30.3,34.0,66.4,42.0,2,0,43.2,high
S0189,0.656,46.2,43.2,39.8,28.8,3,0,35.1,high
S0190,1.0,94.0,68.7,73.1,42.7,3,0,77.9,low
S0191,1.0,66.2,61.7,81.9,33.8,1,0,70.1,medium
S0192,0.798,44.5,69.1,64.5,26.2,3,0,57.1,high
S0193,0.774,90.1,81.4,73.2,52.7,3,1,84.5,low
S0194,0.995,77.4,88.0,85.3,50.9,4,0,85.8,low
S0195,0.687,79.6,77.5,77.3,18.2,3,1,78.4,low
S0196,0.713,77.5,88.4,86.5,43.2,4,1,82.7,low
S0197,0.897,76.5,71.9,79.7,59.9,1,0,79.7,low
S0198,0.773,73.7,73.7,79.8,60.9,4,0,76.1,low
S0199,0.819,74.8,74.0,74.4,60.4,0,0,72.0,low
S0200,0.8,97.4,76.3,77.0,45.6,0,1,78.8,low
S0201,0.861,79.5,65.0,70.6,32.3,5,0,71.0,medium
S0202,0.989,55.5,67.4,69.2,28.7,2,0,66.2,medium
S0203,0.831,84.1,69.8,68.7,50.2,3,1,81.2,low
S0204,0.897,93.8,87.4,73.7,50.7,3,1,84.3,low
S0205,0.574,74.7,61.5,60.1,64.3,4,0,63.3,medium
S0206,0.814,64.6,60.9,71.0,61.5,1,0,62.6,medium
S0207,0.719,73.6,54.0,74.9,43.0,1,0,70.9,medium
S0208,0.674,65.6,41.8,56.0,26.3,0,0,50.5,high
S0209,0.715,91.0,77.0,74.3,40.2,5,0,82.5,low
S0210,0.78,57.7,66.2,75.0,48.3,1,0,69.2,medium
S0211,0.93,77.1,71.8,80.1,42.0,3,1,78.3,low
S0212,0.661,56.4,69.2,64.8,36.3,2,0,62.3,medium
S0213,0.824,71.2,69.4,73.9,48.8,0,1,73.5,low
S0214,0.762,54.8,46.8,75.6,37.4,2,0,61.7,medium
S0215,0.781,44.5,84.4,77.9,35.6,0,1,65.5,medium
S0216,0.94,77.5,75.4,71.2,49.7,1,1,80.0,low
S0217,0.885,80.6,72.0,78.3,39.0,0,1,76.5,low
S0218,0.98,81.4,86.8,100.0,48.7,4,1,92.5,low
S0219,0.801,87.6,82.0,66.6,49.1,3,0,70.5,medium
S0220,0.736,64.2,64.4,68.1,27.9,5,0,69.7,medium
S0221,0.793,77.9,50.6,69.9,37.8,2,0,72.3,low
S0222,0.849,73.7,77.6,61.7,66.6,1,0,70.0,medium
S0223,0.841,84.5,70.4,80.8,27.6,3,1,81.2,low
S0224,0.69,62.6,82.5,47.3,13.3,5,0,63.1,medium
S0225,0.831,87.8,74.1,68.4,17.1,3,1,74.7,low
S0226,0.847,67.0,39.6,76.1,45.4,0,0,65.5,medium
S0227,1.0,78.5,77.9,76.8,45.5,1,0,75.2,low
S0228,1.0,80.9,100.0,74.5,43.2,5,0,81.3,low
S0229,0.718,74.4,96.2,81.3,63.2,3,1,85.9,low
S0230,0.786,76.3,94.2,71.7,5.0,5,1,81.9,low
S0231,0.644,84.6,50.0,62.4,50.9,3,0,65.0,medium
S0232,0.749,63.7,77.3,72.3,68.4,0,0,68.3,medium
S0233,0.858,83.2,70.3,72.4,28.1,5,1,73.7,low
S0234,0.965,86.7,76.8,74.5,39.3,4,0,81.6,low
S0235,0.733,85.3,58.6,71.1,33.7,4,1,70.0,medium
S0236,0.742,65.0,57.2,50.7,31.6,5,0,58.4,high
S0237,0.562,31.3,47.1,46.9,40.1,1,0,43.7,high
S0238,0.8,78.3,83.9,87.2,66.4,5,0,83.0,low
S0239,0.693,43.6,75.4,69.3,72.6,1,0,64.8,medium
S0240,0.756,81.6,70.2,55.0,40.0,5,0,67.2,medium
S0241,0.715,68.5,50.6,53.0,73.6,1,0,57.2,high
S0242,0.809,87.9,74.2,76.9,45.5,3,1,77.2,low
S0243,0.609,56.2,56.3,79.3,71.3,4,0,68.5,medium
S0244,0.644,42.5,68.5,56.3,43.6,0,0,52.2,high
S0245,1.0,75.4,87.0,84.6,47.0,0,0,83.0,low
S0246,0.666,64.7,77.7,68.2,50.5,5,0,69.1,medium
S0247,0.688,63.1,58.9,72.2,92.7,0,0,62.5,medium
S0248,1.0,78.5,44.8,65.6,57.8,3,0,63.1,medium
S0249,1.0,100.0,64.5,94.2,34.4,5,1,92.9,low
S0250,0.679,73.4,82.2,62.1,59.5,3,0,71.7,medium
S0251,0.776,85.1,69.8,82.4,39.6,2,1,77.2,low
S0252,0.861,76.2,58.7,60.4,37.7,2,0,66.4,medium
S0253,1.0,100.0,100.0,89.4,58.6,3,1,95.3,low
S0254,0.702,61.7,78.8,66.8,45.5,3,0,78.4,low
S0255,0.791,47.3,68.1,66.4,49.2,3,0,61.0,medium
S0256,0.913,77.2,75.5,82.7,45.2,0,1,77.8,low
S0257,0.872,89.3,79.6,78.8,50.0,3,1,87.0,low
S0258,0.775,68.9,81.3,72.7,51.4,4,1,68.0,medium
S0259,0.804,62.1,83.0,78.3,15.9,4,0,74.1,low
S0260,0.655,63.4,75.4,79.8,55.0,0,1,79.0,low
S0261,0.791,90.7,84.4,68.9,30.3,4,1,80.0,low
S0262,0.788,81.9,88.4,79.5,23.4,4,1,77.4,low
S0263,0.848,73.8,53.2,60.6,44.1,1,0,62.2,medium
S0264,0.753,84.1,86.9,67.2,46.3,5,1,82.4,low
S0265,0.877,78.5,75.3,88.1,34.6,3,1,82.7,low
S0266,0.942,86.2,54.0,68.9,57.5,2,1,68.7,medium
S0267,0.839,54.8,41.2,75.0,24.9,4,0,57.4,high
S0268,0.862,47.1,56.8,66.7,38.9,3,0,55.7,high
S0269,0.826,78.6,83.5,75.2,36.2,3,1,79.5,low
S0270,0.82,69.4,67.5,69.9,44.3,1,0,73.1,low
S0271,0.733,89.6,79.7,82.8,49.2,5,1,87.6,low
S0272,0.858,85.0,92.7,61.9,29.9,5,0,79.0,low
S0273,0.808,82.3,51.4,73.1,55.9,0,0,66.9,medium
S0274,1.0,76.7,86.3,87.7,45.9,4,1,79.5,low
S0275,1.0,64.2,71.4,56.5,16.6,0,0,64.5,medium
S0276,0.866,69.1,55.4,62.7,15.6,2,0,59.1,high
S0277,0.728,100.0,76.9,89.0,44.8,5,1,89.2,low
S0278,0.687,85.2,51.2,85.5,41.7,1,1,77.7,low
S0279,0.963,94.0,99.7,89.2,43.4,2,1,90.1,low
S0280,0.852,63.6,59.3,56.8,44.6,1,0,56.7,high
S0281,0.878,63.3,96.5,76.6,48.4,4,0,76.7,low
S0282,0.611,79.2,70.9,79.0,59.2,2,1,78.5,low
S0283,0.931,59.0,82.3,76.5,28.3,3,0,75.0,low
S0284,0.875,67.2,68.9,76.6,27.4,5,0,73.2,low
S0285,0.687,59.1,59.9,63.5,28.6,3,0,61.3,medium
S0286,0.763,83.7,60.8,67.1,49.3,4,0,69.1,medium
S0287,0.852,76.1,81.1,74.2,63.7,0,1,73.4,low
S0288,0.826,51.1,79.3,58.4,38.5,1,1,59.5,high
S0289,0.785,77.7,63.2,75.7,7.5,5,1,74.5,low
S0290,0.808,58.6,64.0,67.2,19.4,5,0,64.4,medium
S0291,0.79,65.4,57.7,70.0,32.5,3,0,59.0,high
S0292,0.838,65.8,94.2,54.6,36.6,2,0,66.1,medium
S0293,0.997,69.6,71.3,78.1,38.9,1,0,77.1,low
S0294,0.512,66.0,76.6,76.6,45.6,5,0,73.1,low
S0295,0.792,52.1,65.0,68.1,40.3,4,0,57.5,high
S0296,0.841,64.6,72.9,69.2,60.7,1,0,75.6,low
S0297,0.856,74.9,52.2,70.8,34.9,3,0,67.5,medium
S0298,0.775,68.2,69.0,92.7,32.1,3,1,79.3,low
S0299,0.609,44.0,62.6,50.9,52.2,2,0,52.6,high
S0300,0.859,74.7,87.1,69.9,22.0,5,0,74.8,low
S0301,1.0,94.7,86.1,76.3,50.8,0,1,83.0,low
S0302,0.636,68.7,85.8,64.3,46.5,1,1,77.6,low
S0303,0.924,59.5,86.8,78.6,42.8,0,1,77.0,low
S0304,0.781,78.8,91.2,83.8,68.8,4,0,86.4,low
S0305,0.813,59.9,75.7,92.7,35.7,3,1,78.7,low
S0306,0.694,73.5,99.1,74.4,75.9,5,0,77.3,low
S0307,0.78,57.3,60.3,62.7,41.6,3,0,64.0,medium
S0308,0.976,56.7,59.2,90.8,25.8,0,0,68.4,medium
S0309,0.89,65.9,55.8,66.4,46.0,2,0,64.4,medium
S0310,1.0,68.0,97.8,64.7,28.9,0,0,69.2,medium
S0311,0.961,66.6,82.9,57.1,33.7,4,0,60.8,medium
S0312,0.873,88.3,78.4,95.0,51.0,4,1,89.4,low
S0313,1.0,74.4,93.9,87.6,53.3,5,0,82.1,low
S0314,0.873,77.7,76.1,89.6,35.7,2,0,76.1,low
S0315,0.919,75.6,96.3,60.2,59.8,1,0,76.2,low
S0316,0.784,59.8,48.2,79.9,62.4,0,0,71.3,medium
S0317,0.828,62.6,68.0,71.8,66.5,2,0,71.8,medium
S0318,0.736,48.8,59.7,72.5,52.9,2,0,60.3,medium
S0319,0.939,80.4,53.8,62.6,65.5,4,0,66.6,medium
S0320,0.679,65.4,81.7,82.2,16.8,4,1,78.8,low
S0321,0.914,54.5,75.0,85.3,40.2,0,1,75.3,low
S0322,0.797,57.9,72.1,62.9,32.0,1,0,62.4,medium
S0323,0.961,75.2,100.0,90.0,46.8,3,1,87.4,low
S0324,0.91,95.2,75.2,72.6,36.4,2,1,82.1,low
S0325,1.0,65.1,77.0,76.9,42.5,0,1,74.4,low
S0326,0.908,74.1,89.9,84.3,73.2,5,1,81.8,low
S0327,0.631,82.4,83.2,54.7,42.5,4,1,71.1,medium
S0328,0.812,92.6,72.2,86.8,51.2,3,1,89.3,low
S0329,0.679,62.6,62.5,80.8,41.5,1,1,73.5,low
S0330,0.758,61.7,80.7,61.7,46.1,5,0,67.9,medium
S0331,1.0,78.7,77.1,75.6,45.1,0,0,82.2,low
S0332,0.897,48.2,46.9,69.1,51.7,2,0,55.1,high
S0333,0.736,50.2,54.2,71.8,62.5,4,0,64.7,medium
S0334,0.698,66.7,87.6,63.9,69.7,5,0,72.4,low
S0335,0.824,82.7,72.1,59.3,49.6,1,0,80.5,low
S0336,0.674,59.6,54.8,73.4,53.8,3,0,60.3,medium
S0337,0.739,61.2,58.2,59.6,27.7,1,0,57.7,high
S0338,0.857,87.9,76.7,94.8,43.7,0,1,89.1,low
S0339,0.959,96.3,84.0,75.6,59.1,2,0,86.1,low
S0340,0.893,69.6,59.1,67.1,58.0,5,0,71.8,medium
S0341,0.545,68.7,58.7,79.9,48.2,4,1,68.7,medium
S0342,0.857,99.2,84.3,86.7,58.3,2,1,93.2,low
S0343,0.829,62.7,76.7,84.4,52.4,1,1,78.3,low
S0344,0.87,90.6,87.1,91.0,63.0,0,1,92.0,low
S0345,1.0,74.0,69.5,78.3,49.3,1,1,71.7,medium
S0346,0.572,55.5,58.8,53.4,39.7,0,0,59.7,high
S0347,0.749,61.9,77.4,62.8,50.0,1,0,69.8,medium
S0348,0.891,55.9,71.3,53.9,5.0,4,0,60.7,medium
S0349,0.63,58.8,70.3,66.3,50.7,0,1,65.3,medium
S0350,0.997,78.5,74.6,87.7,5.0,0,1,81.9,low
S0351,0.864,75.7,55.7,67.9,19.1,3,0,67.4,medium
S0352,0.922,70.2,70.6,59.4,51.8,1,0,67.9,medium
S0353,0.751,66.5,80.9,51.8,52.2,2,0,64.3,medium
S0354,0.918,72.0,64.9,81.3,27.6,0,0,71.4,medium
S0355,0.948,59.9,59.0,68.8,34.3,1,0,60.1,medium
S0356,0.848,79.2,65.9,66.0,65.6,2,0,68.4,medium
S0357,0.848,87.4,81.6,76.7,37.7,4,1,82.4,low
S0358,0.852,100.0,69.7,60.9,78.6,2,0,76.7,low
S0359,0.716,70.4,80.0,87.0,45.0,3,1,80.1,low
S0360,0.802,74.0,84.9,75.1,51.1,3,1,78.7,low
S0361,0.802,77.3,80.3,81.9,69.3,1,0,78.0,low
S0362,0.866,76.7,85.6,68.9,47.0,1,0,80.2,low
S0363,0.94,74.2,91.5,92.5,30.0,2,1,85.1,low
S0364,0.693,55.9,48.7,62.3,43.4,0,0,55.4,high
S0365,0.805,84.0,67.8,86.3,44.5,4,1,82.3,low
S0366,0.998,63.7,71.1,78.5,24.5,3,0,66.0,medium
S0367,0.731,68.0,66.7,77.7,41.2,1,1,69.2,medium
S0368,0.721,72.4,57.8,74.6,33.9,2,1,72.6,low
S0369,0.844,79.5,64.3,67.5,58.9,1,0,65.7,medium
S0370,0.921,66.4,66.7,89.7,45.5,3,0,79.1,low
S0371,0.821,60.2,70.6,70.5,40.8,4,1,71.5,medium
S0372,0.979,52.2,67.6,71.5,43.4,0,0,62.7,medium
S0373,0.923,59.4,86.1,72.1,48.3,2,0,72.0,low
S0374,0.921,57.8,73.3,74.5,54.3,0,0,71.7,medium
S0375,0.886,65.9,97.1,63.6,30.0,2,0,71.4,medium
S0376,1.0,69.0,82.9,83.7,29.4,1,1,81.0,low
S0377,0.795,72.0,75.6,77.6,61.6,2,1,73.1,low
S0378,0.58,48.9,56.7,42.4,38.8,2,0,46.8,high
S0379,1.0,75.6,83.0,80.0,23.7,1,1,76.8,low
S0380,0.765,79.4,71.4,56.3,51.7,2,0,69.2,medium
S0381,0.833,77.6,95.9,55.4,52.0,4,0,76.8,low
S0382,0.977,71.9,61.6,73.0,22.0,4,0,69.2,medium
S0383,0.628,63.6,78.5,72.6,48.4,0,1,67.1,medium
S0384,0.67,58.8,65.6,67.9,56.0,2,0,60.9,medium
S0385,0.628,66.8,44.7,68.7,50.6,5,0,63.2,medium
S0386,0.725,71.9,75.3,48.7,54.5,3,0,69.0,medium
S0387,0.873,65.8,90.1,62.7,23.9,1,1,71.8,medium
S0388,0.883,72.0,61.4,89.4,50.0,3,0,75.1,low
S0389,0.853,45.6,65.8,56.4,40.5,0,0,57.3,high
S0390,0.65,69.4,46.6,72.8,37.8,0,1,64.4,medium
S0391,0.543,67.0,44.3,53.2,58.1,3,0,54.7,high
S0392,0.827,69.5,84.8,73.0,67.2,3,0,71.8,medium
S0393,0.763,89.7,65.9,65.8,71.9,4,0,78.4,low
S0394,0.875,64.0,59.5,77.8,64.7,2,0,60.8,medium
S0395,0.904,75.6,76.1,74.6,43.4,5,0,77.7,low
S0396,0.837,78.5,72.6,74.8,50.3,2,1,74.1,low
S0397,0.911,83.9,79.2,75.4,56.5,4,1,78.1,low
S0398,0.848,75.6,85.6,79.1,46.8,0,1,84.6,low
S0399,0.884,79.2,64.2,67.3,47.0,0,1,68.6,medium
S0400,0.735,76.5,57.1,71.8,57.4,4,0,67.7,medium
S0401,0.798,83.1,71.1,92.9,44.1,5,0,83.6,low
S0402,0.844,79.4,91.1,91.6,34.1,5,1,88.4,low
S0403,0.918,77.4,84.1,75.7,38.8,1,0,77.0,low
